"ID.Results";"mes_date";"ID.Modul";"channel";"U0";"Ik";"Pmpp";"FF";"Ghor";"Tluft";"RA";"MN";"HN";"Res";"mes_time"
"2912063";"10/1/2024 6:15:29 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";700;90;0;1;1
"2912064";"10/1/2024 6:16:28 AM";2;3;0;0;0;NA;-30003000;"13°C ";115;0;0;1;2
"2912065";"10/1/2024 6:29:58 AM";2;3;0,364;3,49e-05;3,8796e-06;31;-30003000;"12.9°C ";688;60;0;1;3
"2912066";"10/1/2024 6:30:01 AM";-1;7;0,333;1,75e-05;1,365e-06;23;-30003000;"12.9°C ";688;60;0;1;1
"2912067";"10/1/2024 6:30:03 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";688;60;0;1;1
"2912068";"10/1/2024 6:30:04 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";688;60;0;1;1
"2912069";"10/1/2024 6:30:23 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";688;90;0;1;1
"2912070";"10/1/2024 6:30:24 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";688;90;0;1;2
"2912071";"10/1/2024 6:30:26 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";688;90;0;1;1
"2912072";"10/1/2024 6:30:27 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";688;90;0;1;2
"2912073";"10/1/2024 6:30:48 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";544;60;0;1;2
"2912074";"10/1/2024 6:30:50 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";544;60;0;1;2
"2912075";"10/1/2024 6:30:52 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";544;60;0;1;1
"2912076";"10/1/2024 6:30:53 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";544;60;0;1;2
"2912077";"10/1/2024 6:31:12 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";544;90;0;1;2
"2912078";"10/1/2024 6:31:14 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";544;90;0;1;2
"2912079";"10/1/2024 6:31:16 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";544;90;0;1;1
"2912080";"10/1/2024 6:31:17 AM";2;22;0,697;2,19e-05;7,1435e-06;47;-30003000;"12.9°C ";544;90;0;1;3
"2912081";"10/1/2024 6:31:40 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";358;60;0;1;1
"2912082";"10/1/2024 6:31:41 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";358;60;0;1;2
"2912083";"10/1/2024 6:31:43 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";358;60;0;1;1
"2912084";"10/1/2024 6:31:44 AM";2;22;0,697;2,03e-05;6,4155e-06;45;-30003000;"12.9°C ";358;60;0;1;3
"2912085";"10/1/2024 6:32:04 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";358;90;0;1;1
"2912086";"10/1/2024 6:32:05 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";358;90;0;1;2
"2912087";"10/1/2024 6:32:07 AM";2;18;0,091;0,0001094;2,106e-06;21;-30003000;"12.9°C ";358;90;0;1;1
"2912088";"10/1/2024 6:32:08 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";358;90;0;1;2
"2912089";"10/1/2024 6:32:29 AM";2;3;0,303;2,5e-05;2,1432e-06;28;-30003000;"12.9°C ";263;60;0;1;2
"2912090";"10/1/2024 6:32:31 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";263;60;0;1;2
